HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
1,11,Thursday,GraphVideo,neutral,1024,True,62,8343,1024.0,8343.0,62.0,1,1,2470992,0
1,10,Thursday,GraphImage,positive,5601,False,855,0,5601.0,0,855.0,5,0,2470992,0
1,10,Thursday,GraphImage,neutral,4437,False,791,0,4437.0,0,791.0,0,0,2470992,0
2,9,Thursday,GraphSidecar,neutral,1922,True,88,0,961.0,0,44.0,0,0,2470992,0
2,9,Thursday,GraphVideo,negative,12613,False,1224,102346,6306.5,51173.0,612.0,4,0,2470992,0
2,9,Thursday,GraphImage,neutral,16705,False,4355,0,8352.5,0,2177.5,3,0,2470992,0
3,8,Thursday,GraphImage,neutral,2417,True,107,0,805.6666666666666,0,35.666666666666664,0,9,2470992,0
3,8,Thursday,GraphImage,negative,10867,False,2301,0,3622.3333333333335,0,767.0,1,0,2470992,0
4,7,Thursday,GraphVideo,positive,8717,False,1612,107675,2179.25,26918.75,403.0,3,0,2470992,0
5,6,Thursday,GraphVideo,neutral,1343,True,70,14580,268.6,2916.0,14.0,4,2,2470992,0
5,6,Thursday,GraphImage,neutral,17865,False,2282,0,3573.0,0,456.4,1,0,2470992,0
5,6,Thursday,GraphVideo,negative,23510,False,2805,225815,4702.0,45163.0,561.0,4,0,2470992,0
6,5,Thursday,GraphImage,neutral,2676,True,161,0,446.0,0,26.833333333333332,0,1,2470992,0
6,5,Thursday,GraphImage,positive,15741,False,1232,0,2623.5,0,205.33333333333334,3,0,2470992,0
7,5,Thursday,GraphImage,neutral,8199,False,1441,0,1171.2857142857142,0,205.85714285714286,1,0,2470992,0
12,23,Wednesday,GraphImage,neutral,1694,True,0,0,141.16666666666666,0,0.0,2,1,2470992,0
14,21,Wednesday,GraphImage,positive,1860,True,66,0,132.85714285714286,0,4.714285714285714,2,1,2470992,0
14,21,Wednesday,GraphVideo,neutral,19202,False,920,202801,1371.5714285714287,14485.785714285714,65.71428571428571,3,1,2470992,0
15,20,Wednesday,GraphImage,negative,8750,False,424,0,583.3333333333334,0,28.266666666666666,1,0,2470992,0
16,19,Wednesday,GraphVideo,positive,1134,True,41,12563,70.875,785.1875,2.5625,1,7,2470992,0
16,19,Wednesday,GraphSidecar,neutral,7624,False,770,0,476.5,0,48.125,1,0,2470992,0
16,19,Wednesday,GraphVideo,neutral,27158,False,6332,298320,1697.375,18645.0,395.75,1,0,2470992,0
